Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R41        RES0805               6.985mm      94.615mm       6.985mm      94.615mm       8.035mm      94.615mm  T        180.00 RES0805 1K 1%  
R157       RES0805             149.225mm      -8.255mm     149.225mm      -8.255mm     150.275mm      -8.255mm  B        180.00 RES0805 1K 1%  
RU2        S14K25               22.225mm       5.715mm      22.225mm       5.715mm      26.035mm       4.826mm  T        180.00 Varistor S14F25
F2         PTC1812               15.24mm      12.065mm       15.24mm      12.065mm       15.24mm       9.965mm  T         90.00 Fuse           
D20        DO-214AS             22.225mm       9.525mm      22.225mm       9.525mm      20.125mm       9.525mm  T        360.00 SMBJ5.0CA      
C40        CAPPR5-10X17_1        11.43mm       22.86mm       11.43mm       22.86mm       11.43mm       25.36mm  T        270.00 Cap Pol 100/47 
RU1        S14K25                5.715mm       5.715mm       5.715mm       5.715mm       9.525mm       4.826mm  T        180.00 Varistor S14F25
C39        CAPPR5-10X17_1       -0.635mm       22.86mm      -0.635mm       22.86mm      -3.135mm       22.86mm  T        360.00 Cap Pol 100/47 
D6         DO-214AS            102.235mm      125.73mm     102.235mm      125.73mm     104.335mm      125.73mm  T        180.00 SS12           
U31        DIP-4                 54.61mm      48.895mm       54.61mm      48.895mm       55.88mm      52.705mm  T        270.00 Optoisolator1  
U28        DIP-4                37.465mm      48.895mm      37.465mm      48.895mm      36.195mm      45.085mm  T         90.00 Optoisolator1  
U30        DIP-4                48.895mm      48.895mm      48.895mm      48.895mm      50.165mm      52.705mm  T        270.00 Optoisolator1  
R92        RES0805             55.8808mm      56.261mm     55.8808mm      56.261mm     55.8808mm      57.311mm  T        270.00 RES0805 100R 1%
R108       RES0805              36.195mm      41.275mm      36.195mm      41.275mm      36.195mm      40.225mm  T         90.00 RES0805 100R 1%
R111       RES0805               55.88mm      41.275mm       55.88mm      41.275mm       55.88mm      42.325mm  T        270.00 RES0805 510R 1%
R89        RES0805              36.195mm      56.515mm      36.195mm      56.515mm      36.195mm      55.465mm  T         90.00 RES0805 510R 1%
