Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Q15        SOT23               143.033mm       93.23mm     143.033mm       93.23mm     142.083mm       92.03mm  T         90.00 BC847          
Q13        SOT23               142.525mm      98.945mm     142.525mm      98.945mm     141.575mm      97.745mm  T         90.00 BC857          
R3         RES1206             132.365mm       145.3mm     132.365mm       145.3mm      130.94mm       145.3mm  T        360.00 ChipRes        
R2         RES1206             118.395mm       145.3mm     118.395mm       145.3mm      116.97mm       145.3mm  T        360.00 ChipRes        
R4         RES1206              143.16mm     143.395mm      143.16mm     143.395mm     141.735mm     143.395mm  T        360.00 ChipRes        
R15        RES1206              143.16mm     137.045mm      143.16mm     137.045mm     141.735mm     137.045mm  T        360.00 ChipRes        
R10        RES1206             118.395mm      141.49mm     118.395mm      141.49mm      116.97mm      141.49mm  T        360.00 ChipRes        
R18        RES1206              143.16mm     134.886mm      143.16mm     134.886mm     141.735mm     134.886mm  T        360.00 ChipRes        
R5         RES1206             132.365mm      142.76mm     132.365mm      142.76mm      130.94mm      142.76mm  T        360.00 ChipRes        
R27        RES1206              143.16mm     119.265mm      143.16mm     119.265mm     141.735mm     119.265mm  T        360.00 ChipRes        
R34        RES1206              143.16mm     112.915mm      143.16mm     112.915mm     141.735mm     112.915mm  T        360.00 ChipRes        
R36        RES1206              143.16mm     110.756mm      143.16mm     110.756mm     141.735mm     110.756mm  T        360.00 ChipRes        
R17        RES1206             132.365mm      135.14mm     132.365mm      135.14mm      130.94mm      135.14mm  T        360.00 ChipRes        
R13        RES1206             118.395mm      138.95mm     118.395mm      138.95mm      116.97mm      138.95mm  T        360.00 ChipRes        
R69        RES1206              141.89mm      76.085mm      141.89mm      76.085mm     140.465mm      76.085mm  T        360.00 ChipRes        
R62        RES1206               145.7mm       79.26mm       145.7mm       79.26mm       145.7mm      77.835mm  T         90.00 ChipRes        
R16        RES1206             118.395mm      135.14mm     118.395mm      135.14mm      116.97mm      135.14mm  T        360.00 ChipRes        
R53        RES1206               145.7mm       85.61mm       145.7mm       85.61mm       145.7mm      87.035mm  T        270.00 ChipRes        
R14        RES1206             132.365mm      137.68mm     132.365mm      137.68mm      130.94mm      137.68mm  T        360.00 ChipRes        
